name,on,off,sentence,Objects
MOT,1356271,1358583,chi's gonna get hurt that way ,hat
MOT,1358583,1360930,that'll get chi hurt ,hat
MOT,1360930,1363378,here's the new book ,book
MOT,1363378,1364695,chi look at this book ,book
MOT,1364695,1366855,look at the blue ,blue
MOT,1366855,1368366,can you see the blue boat ,blue
MOT,1368366,1372893,i see a blue boat ,blue
MOT,1372893,1374615,i see lotsof blue boats ,blue
MOT,1374615,1376355,there's a police boat ,police
MOT,1376355,1378393,zachary likes police boats doesn't he ,police
MOT,1378393,1380983,chi ,
MOT,1383701,1390641,careful please ,
MOT,1391380,1392778,careful please ,
MOT,1393868,1398680,chi ,
MOT,1398680,1403858,come here sweetie ,
MOT,1403858,1404715,come on ,
MOT,1406628,1407733,crash ,
MOT,1407733,1409420,careful please ,
MOT,1409420,1411656,careful please ,
MOT,1411656,1414326,mot get your piggie toes boopo boopo boopo ,piggie
MOT,1414326,1415756,mot get the piggie toes ,piggie
MOT,1415756,1416950,mot get the piggie toes ,piggie
MOT,1416950,1418130,chi ,
MOT,1418130,1418866,watch mot ,
MOT,1418866,1419491,chi ,
MOT,1419491,1421253,chi ,
MOT,1421253,1424790,where are you going sir ,
MOT,1432603,1434480,here ,
MOT,1434480,1437436,let's see if we can stack the ,
MOT,1434480,1437436, the rings ,
MOT,1437436,1438383,can we stack ,
MOT,1438383,1441471,ahhah ,
MOT,1441471,1443265,what comes next ,hat
MOT,1443265,1444243,ahhah ,
MOT,1449535,1454308,can we put the blue one on ,blue
MOT,1454308,1455373,can we put the blue one on ,blue
MOT,1455373,1455725,ahhah ,
MOT,1455725,1457743,very good ,
MOT,1457743,1458916,want the green one ,
MOT,1458916,1462755,green one comes next ,
MOT,1462755,1471390,green one comes next ,
MOT,1471390,1473423,careful ,
MOT,1480723,1485068,here can we put the green one on ,
